,text,c_label
55,"Clarity is in the eye of the beholder - I look at a function and seek a beginning a middle and an end. When the function is small its fine - but when you're trying to work out why something is broken and ""Rest of Code"" turns out to be non-trivial you can spend ages looking for why ret is",False
56,That one is great. The link to the site is http://random.irb.hr/signup.php. Sometimes it's a lot easier,False
57,"You actually have to make sure you don't add directories named 'CVS' to cvs, for some reason cvs sometimes catches this, sometimes it doesn't. Run this instead:

find . \! -name ""CVS"" -and \! -name ""Entries"" -and \! -name ""Repository"" -and \! -name ""Root"" -ty",False
58,"It's ironic that your ""First Word"" is actually 2 words! ;)",False
59,Very few real-world HTML pages will survive an XML parsing library.,False
60,I don't think it is that simple. You have slightly changed the question (requirements) so that interface makes more sense. You should always ask yourself whether you are defining a contract (interface) or a shared implementation (base class).,False
61,"Actually, you have the style guide's preference exactly backwards.  Implicit continuation is preferred, explicit backslash is to be used only if necessary.",False
62,"The interface is a contract. You're only exposing the part of the contract that a service requires. If you have a 'PettingZoo', you certainly don't want to expose 'Mate'-ing to the user!",False
63,"Whenever a change needs to be made to an interface, the non-breaking way to do so is to create a new interface that inherits from the old one.  This preserves existing implementations and lets you do whatever you wish in the new one.",False
64,"...but dereferencing NULL is undefined.  For example, you can't test if a reference is NULL (e.g., &ref == NULL).",False
65,"It's false that Ruby 1.8 has only green threads, several implementations of Ruby 1.8 have native threads: JRuby, XRuby, Ruby.NET and IronRuby.

Fibers don't allow the creation of native threads, they are *more lightweight* than threads. They are actually semi-coroutines, i.e. they are cooperative.",False
66,"@David Touche, although I did it to better illustrate what an interface is for and what an abstract class is for vis-a-vis his understanding. A dog and a cat does not appear to be a rigid requirement!",False
67,"I have to say that I really disagree, at least for enterprise applications.  The data is the application.",False
68,"Manual testing doesn't fully replace automatic (or vice a versa). The purpose of automated testing is not to find errors, it's to make sure that new changes don't break already tested old features.",False
69,This is head recursion.  It can fall prey to a stack overflow if the directories are nested deep enough.,False
70,"Until very recently, directory nesting depth was restricted by the OS. I doubt that you'll find directories that are nested more than a few hundred times (if even). The above code can take *much* more.",False
71,"I like the recursive approach, the risk of a stack overflow is minimum at worst.",False
72,"I would say that looking at the alternatives posted below, that the VB way doesn't look so ugly.",False
73,"Thanks Espo. I actually wrote that inkscape blog post! Although it ""works"", it's not a particularly robust solution.  I like the codeplex project though - I'll give it a look. Thanks.",False
74,How embarrassing :) Good thing maybe the SVG rendering engine could help you out though.,False
75,I take it as a compliment. I've not been quoted to myself before!,False
76,"Flash is also a ""development"" side.  Flex and Flash are two different products that Adobe has for generating ""Flash Content"" (aka SWFs).",False
77,And if you purchase that domain I will never be able to look at you the same way again.,True
78,"I noticed the other day that this can be used to organize the whole project or parts of it, not just one file as I had expected. Extremely useful.",False
79,"Just curious: if you have a row with _all_ NULLs, would count(*) still count it, or is just count(column) for all columns?",False
80,"The code in question contains undefined behavior.  Technically, you cannot do anything with a null pointer except set it, and compare it.  Once your program invokes undefined behavior, it can do anything, including appearing to work correctly until you are giving a demo to the big boss.",False
81,I'd prefer ItemListener (just make sure to check the ItemEvent to see whether it is a selection or deselection even).  The ActionListener can be fired even if the selection hasn't changed (i.e. if the user clicks on the already selected item).  This may or may not be what you want.,False
82,"LOL - rehashing? While you were answering, so was I. I had not idea you had answered it (we were only a minute or two apart). It's not like it is that unique of a solution, it is pretty much *the* way to do it. By the way, my comment about yours was an edit after I answered - you can see the history",True
83,"I don't think that the iter() is sorting the elements - when I create a set and pop() until it's empty, I get consistent (sorted, in my example) ordering, and it's the same as the iterator - pop() doesn't promise random order, just arbitrary, as in ""I promise nothing"".",False
84,"It would be much more performant to do foreach(KeyValuePair<int, string> pair in items) and then reference pair.Key and pair.Value, rather than doing a lookup in each iteration.",False
85,"Number 2 is *not* true.  A references is not simply ""another name for the same variable.""  References may be passed to functions, stored in classes, etc. in a manner very similar to pointers.  They exist independently from the variables they point to.",False
86,Why would you want to use a keyword as a variable name?  Seems to me that this would make code less readable and obfuscated.,True
87,Your title question and your description question are not totally in sync.  type would be the best answer for the title question and copy /b would be the best answer for the description question.  You might want to change that title if possible.,False
88,"this is a great response, but you should note that it has to be *parameterized* SQL -- plain vanilla ""build a giant string with replacements"" SQL doesn't tend to perform as well.",False
89,"It's a pain to maintain though. But then again, if it is a library class the methods should not be changed much anyway.

The code I'm looking at seems to be taking the safe road and using pimpl everywhere.",False
90,I found it after spending almost a day perfecting my own pw gen code. Image how I felt ;),False
91,Ctrl+T will only take you back if you got there using a tag.  If you searched it without using tags Ctrl+T will take you back to the place you were before you searched for your last *tag*,False
92,Only problem with this approach is that you need to know what classes are in what jars. As opposed to just loading a directory of jars and then instantiating classes.  I am misunderstanding it?,False
93,Yeah. I know how to do it in SQL (I posted that answer in http://beta.stackoverflow.com/questions/19412/how-to-request-a-random-row-in-sql#19568) but was searching for a SQLAlchemy specific solution.,False
94,Comments as documentation in Python is bad. Comments are for a module maintainer (why and how implemented). All documentation should be in docstrings (how to use).,True
95,"I'm not looking for a different shell interpreter, it's the application itself I loath.  Cygwin suffers the same problems and I got the impression somewhere that Windows PowerShell does as well. Is that impression wrong?",False
96,I think this answer combined with Michael Ratanapintha's answer about using shift-right click in vista and 2008 answers this question fully.,False
97,"Conventional wisdom the with statment is to be avoided.  If the user object didn't have one of the properties you mentioned, the variable outside the with block's pseudo-scope would be modified. That way lies bugs. More info at http://yuiblog.com/blog/2006/04/11/with-statement-considered-harmful/",False
98,"This code looks like PHP3 (or maybe 4), which register_globals enabled. You don't want to run this code, and it will also not work on a semi up to date PHP installation (which is version 5).",False
99,"I use this a lot.  clone() is a great example.  It's supposed to return Object, which means you'd have to say e.g. (List)list.clone().  However if you declare as List clone(){...}, then the cast is unnecessary.",False
100,Bravo! This is a very nice solution and I don't know why it isn't the accepted answer.,False
101,I agree. Being able to type www.php.net/function_name and getting a reference most of the time is great.,False
102,"Ethan, using Mono you can host ASP.net apps on Linux.",False
103,What is the difference in this case of accessing the private vs the public accessor?  I think it is best practice to access the public accessor even from the logic in the declaring class. If you ever add some logic to the accessor you do not want to have to change all your code.,True
104,The concept of functions-as-data definitely wins big points in my book.,False
105,"It's a shame that so many people think Crockford is all-knowing. Granted, the guy is right on the mark with most of his criticisms, but I stop short of giving his stuff a blanket endorsement like so many devs do...",True
106,"I don't agree with this at all.  My company has been using VSS for almost 10 years and there would be tons of history missing if we just ""started fresh.""

I do agree that VSS is garbage but it's better than nothing and just throwing out years of file history is a big mistake.",True
107,"Well. When you have a couple of hundred parties involved, and you need to set up a lot of different format mappings and types of transfer, you really want to use a system like BizTalk.",False
108,"an excellent point -- when *storing* dates in a database or file, definitely store them in UTC!",False
109,"You have to note that when you want to store dates in UTC in the database, you have to make sure that the database doesn't add its own timezone to dates that don't give explicit timezones. Note that DateTime will always use the current timezone when asked for one.",False
110,"kokos, if your objects are being finalized that means the application doesn't have any references to them, so your object can't be modified concurently by the application, when writing a finalizer you can assume your objects are accessed from only the finalizer thread, so no loking neeeded.",False
111,"Any sensible human brain will tail-call optimise the interpretation of this one too, and not blow up. :-P",True
112,"Are you basing this on experience?  I do integrate with hundreds of parties.  The problem Biztalk solves is not the hard part.  The hard part is getting the logic right, and scrubbing garbage data that doesn't conform to specs.  Biztalk only makes this harder.",True
113,"You misunderstood the question.  The OP is asking if there is a difference between the declarations ""int i"" and ""Int32 i"".",False
114,"This number covers only the users of w3school.com I think, and might be a bit atypical - you can see the Firefox percentage is unusually high.",False
115,"Counting the bytes after ""compiling"" (or assembling) is not code-golf.",False
116,"The question says ""[...] what's the shortest code to cause a stack overflow?"" It doesn't specify source code, interpreted code, machine code, object code or managed code...",False
117,"Chris, sensible human brains are becoming a rarity these days.",True
118,"from what I understand from the question, he wants to know the list of columns which has only null values.",False
119,"What DBMS doesn't support TRUNCATE TABLE? Oracle, SQL Server, Sybase ASE, MySQL, PostgreSQL, DB2 -- all support TRUNCATE TABLE",False
120,rarity...you mean they exist?,True
121,"I find it interesting that this has more up votes than the question, and approved answer, combined.",False
122,That's not really a private function - it's more a function variable in a local scope.,False
123,"This was my first crack at a solution, however, it fails for the requirement that it be 'easily pulled out in order'. Our solution is the most *like* a linked list, but much harder to retrieve in order.",False
124,All private methods should be tested through the public methods that would exist anyway.,False
125,"True, it normally is, but may not be depending on the context. There may be an instance Equals() method that takes two arguments. I tend to explicitly prefix all static calls with the class name, if only to make the code easier to read.",False
126,"that's not the answer to his question - ""If I need to SELECT every column in a table,..."" -- in that case, * vs col1, .., coln doesn't matter (but it DOES for programmer time, since * is shorter!).",False
127,"The question is about C, not C++",False
128,You can even 'import static MaxSeconds.MAX_SECONDS;' so that you don't have to spell it MaxSeconds.MAX_SECONDS,False
129,"The previous comment about import static only applies to Java 5+.  Some feel the shorthand isn't worth the possible confusion as to where the constant came from, when reading long code, MaxSeconds.MAX_SECONDS may be easier to follow then going up and looking at the imports.",False
130,"There's a lot more to it than just ""validation"". Most strict XML parsers won't go through the page if they hit an illegal character. It's more than simply about making W3C happy and getting green instead of red.",False
131,"Almost correct. Statements don't have values, expressions do. The value of that expression is c.",False
132,C++ has no concept of files?  What about std::fstream?  Or fopen?,False
133,"@John Sheehan The <p> tags do not need to be <a> tags.

Named anchors are unnecessary when there is a suitable container already in place.


@Pat
The answer is correct. You can link to *any* tag with an id.",False
134,"You can use the Express editions in a Team/Corporate environment, and you are able to sell the software you write using the Express editions without limitation.",False
135,Another reason to use double quotes is in case $DIRECTORY is not set for some reason.,False
136,"[WTF are you doing putting a REAL DB key in a URL!?] 

Not sure why that bothers you. What else would you use? Look at Stack Overflow... It has IDENTITY values in the URL all over the place, and it works just fine. Using DB keys in URLs doesn't prevent you from enforcing security.",True
137,"Or just call wc.DownloadString(""feed url"");",False
138,this is how we do it -- deletion is always a date field,False
139,"it has the added benefit of making you sound really angry about it too.
""Computer, do this.""
""Access denied"".
""DO IT!!""",False
140,Java Service Wrapper looks very useful. But I had a look at the feature list. You will just need to be aware that community version is not licensed for use on the server.,False
141,"I prefer to use `pushd` and `popd` to maintain a directory stack, myself.",False
142,"Why do you say that immutability, in and of itself, increases efficiency? Especially efficiency of instantiation and retrieval?",False
143,"That's a `GOSUB`, not a `GOTO`. Since it `RETURN`s to where it was called from, surely it's using a stack?",False
144,I don't think we are talking rotary phones.  Any cell phone with a built in phone book can dial itself.  User.Call(contact) -> Phone.Dial(number),False
145,This is a REALLY bad practice.  See http://stackoverflow.com/questions/48088/returning-from-a-finally-block-in-java for more info about why it's bad.,True
146,"The pedant in me says it doesn't cause any stack to overflow, just throws an exception. That's like saying the quickest way to be attacked by sharks is to stand in the sea and scream ""Shark attack!"". Despite this, I will up-vote it. :)",True
147,You can start the next line without a space if you add a space just before the `^` and after your command text.,False
148,"SQL Server Compact Edition does not require a separate install. Like SQL Lite, that database is a single file.",False
149,"Agreed. Years ago when I was first stepping away from table-based layouts, I had the whole ""use divs"" mantra drilled into my brain. The resulting code was even less semantic. Once you get to know HTML and all it offers, you learn to write meaningful code and it all becomes simple.",False
150,But 'cd -' has the advantage of working even if you didn't remember to use pushd.,False
151,Awesome!  Now I need to try and remember this one.,False
152,"whatever you do... please don't write another XML based ""language"" of sorts ;-)  The world could do with 1 less of those....",False
153,"Hmm … but is this really a stack overflow or just an infinite loop? My JS interpreter did *not* overflow, it just went on vacation, so to speak.",False
154,"Both tab-width and tab-stop-list are needed.  tab-width is used when DISPLAYING tabs, while tab-stop-list is needed to determine tab stops when you ADD tabs.",False
155,Sounds like a religious question,False
156,"even more cumbersome, but at least it is now official that there is no elegant way...",False
157,"Similar things you can do: `mkdir testdir; cd !$`.. This runs `cd [last word of previous line]` (in the example, `cd testdir`)",False
158,"This function will return wrong results when:

- strColumn is a number
- there is some data in row 65536
- you are using Excel 2007 with more than 65536 rows",False
159,"That sounds like a problem with the debugger, not a problem with the language feature.",False
160,"singleton instance variable can be made final also.
e.g.,
private static final A singleton = new A();",False
161,And by god is it ugly and confusing. And irrelevant to type safety.,True
162,"Omer van Kloeten, is should be obvious to any .net developer. quick sample intended to show general idea, not complete solution",True
163,Why unchecked? xor can't overflow.,False
164,"Maybe you should point out that the first line is not necessary, it just creates sample data...",False
165,"That effectively is lazy initialisation, since the static singleton won't be instantiated until the class is loaded and the class won't be loaded until it's needed (which will be right about the time that you first reference the getInstance() method).",False
166,"If class A does get loaded way before you want the static to be instantiated, you can wrap the static in a static inner class to decouple the class initialisation.",False
167,The worst-case time complexity is still O(n).  I persist in saying this because I hope no students out there (this sounds like a homework/educational question) think this is an acceptable way to implement a queue.,True
168,"Still, “do not” isn't the same as “must not”. This is a guideline (for compatibility, as suggested by the section title), not a rule.",False
169,"Actually, I can't find any use for this restriction :)  It seems completely artificial.",False
170,"It is true that the worst-case time for a single pop operation is O(n) (where n is the current size of the queue).  However, the worst-case time for a sequence of n queue operations is also O(n), giving us the amortized constant time.  I wouldn't implement a queue this way, but it's not that bad.",False
171,This is not only valid for embedded systems but for all device drivers development.,False
172,Part two of the question would be is it possible client-side only?,False
173,"Um... Nothing...

Sad that we all missed the simple solution.",True
174,One thing to note here is that it doesn't work if the string is all capitals.  It thinks that all caps is an acronym.,False
175,Using key is not only cleaner but more effecient too.,False
176,Long compile times mean more time for awesome office sword fights.,False
177,SQuirreL SQL and all other Java-based clients I've tried so far for connecting to ODBC DBs simply don't work on OS X. They all complain about the JDBC/ODBC driver missing. Maybe it's just my computer…?,False
178,The thing I have seen with many of these is that you can't rely on them. It wouldn't work if the name is something like McCain or if you start hitting more foreign names.,False
179,Why not call ToLower on the input string before calling ToTitleCase?,True
180,That drives me crazy as well.,True
181,A good rule of thumb is to use Strings when you aren't going to change it and use StringBuilder if you will be changing it.,False
182,I've remapped the Caps-Lock key on my keyboard to Escape.  Even faster than ctrl+[!,False
183,"Subversive is an ""official"" Eclipse project.  Subclipse is an ""official"" tigris project (the people who also make subversion).",False
184,"@bene Can you really ""force"" it?  Is jconsole just calling System.gc()?",False
185,"Yeah, I saw that solution, but it only works if you already have a reference to a Class object of the type that you want to instantiate.",False
186,"I like this answer a lot, especially the advice to code for clarity before performance.  As developers, we spend as much or more time reading code as we do writing it.",False
187,Yeah I know.  It would be nice if you could do E.class but that simply gives you Object.class because of erasure :),False
188,"The usual warnings about linear congruent generators apply to both these methods, so use a decent underling generator. Cheers.",False
189,"That's just as nested - each successive using is treated as a one-line code block - think of an if statement, sans { }.  All you've gained here is avoiding hitting the TAB key.",False
190,I recommend updating your question to make it more clear that you're describing the issue addressed in PEP 366.,False
191,"Just a semantics thing, shouldn't it be one = not two? == is a question while = is a statement and you are making a statement about your environment.",False
192,"Don't forget your label ""for"" attributes, if you omit them there is no point to using the label in the first place since it's not related to the input element in any way.",False
193,"@icco, = means assignment, == means equality. He is saying that (Environment == Windows w/ VS2008 installed) is true, not giving an order to set Environment to Windows w/ VS2008 installed.
Man that was offtopic and nerdy.",True
194,"Algorithms whose correctness can be proved by induction tend to write themselves naturally in recursive form. Coupled with the fact that tail recursion is optimized by compilers, you end up seeing more algorithms expressed recursively.",False
195,Or use '/' instead of '\\'.  It works the same in Ant on Windows and is a little easier to read.,False
196,Classes with one stage constructors can not easily be used in unit test by subclassing.,False
197,"Ah, very nice, and I do like bullet lists. I think this is the most complete yet succinct answer so far.",False
198,The file existing does not mean the user is allowed to write to the file for example.  Checking for every possible problem is really tedious and error prone. + you are duplicating the code (DRY).,False
199,"I'd say the opposite is the case - if we don't want partially created objects, the constructor _should_ throw when there's a problem - that way the caller will know something went wrong.",False
200,The filesystem hierarchy is only fast in Unix derivatives.  It's horrendously slow in Windows.,False
201,"Actually, when using this trick, you should really pay attention to what type you are using. A[8] is actually the 8th A while 8[A] is the Ath integer starting at address 8. If A is a byte, you have a bug.",False
202,"For people who just look at the top answer, $$ is not fine for even a single file if writing to a publicly-writable directory (e.g., /tmp). It's easy to litter /tmp with symlinks that will cause your script to write somewhere undesirable. mktemp is much better.",False
203,"Two-stage construction is for environments where exceptions don't work properly or aren't implemented. MFC uses two-stage construction because when it was originally written, Visual C++ didn't have C++ exceptions working. Windows CE didn't get C++ exceptions until v4.0, and MFC 8.0.",False
204,"you mean ""commutative"" where you say ""associative""?",False
205,"This is not always a perfect approach, it's simply a good guideline.  the Liskov Substitution Principle is much more accurate (fails less).",False
206,You are asking two different questions.  One in your subject and a different one in your description.,False
207,.Net doesn't have copy constructors.,False
208,"This argument only holds when you're really forking. If you're starting a new process, on Unix you still have to fork and exec. Both Windows and Unix have copy on write. Windows will certainly reuse a loaded EXE if you run a second copy of an app. I don't think your explanation is correct, sorry.",True
209,"I -would- argue that in the second case, you would -definitely- be better served using a module or package, which are designed to be namespaces.",False
210,"""Get-Help Set-Content"" does not identify -encoding as an option, but it does in fact work.",False
211,"A word of warning, the charts that Google allows you to create are rather limited in size (width * height <= 300,000 pixels).  Also, Google Charts (not the Python API) will choke with even modestly sized data sets.  Otherwise, they're great.",False
212,"A recommendation to avoid using the heap is pretty strong. Modern systems have good heap managers, and modern dynamic languages use the heap extensively (without the programmer really worrying about it). I'd say use the heap, but with a manual allocator, don't forget to free!",False
213,"In other words, the most effective ""tool"" is a programmer. :-)",False
214,REST is built in with .NET v3.5,False
215,please don't use $a or $b in examples as they are the magic globals of sort(),False
216,"Vincent, you're wrong. The type of `A` doesn't matter at all. For example, if `A` were a `char*`, the code would still be valid.",True
217,"To get the \033b, you actually need to press Esc, then b.",False
218,You don't want to start the MutableInt off at 1 the first time you put it in the map?,False
219,"Sure it does: new MyObject(objToCloneFrom)

Just declare a ctor which takes the object to clone as a parameter.",False
220,"Double-brace initialization... weird...  I'd be wary of adopting that particular idiom too widely though, since it actually creates an anonymous subclass of the object, which could cause confusing equals/hashcode problems.
java.util.concurrent is a truly great package.",False
221,this long: |-----------------|,False
222,"Because blog requires comments, pingbacks, openid, atom/rss feeds, publishing api, etc.",False
223,"does anyone else find it strange that ""000"" == ""0000"" ?",False
224,You don't need refs/remotes here. git checkout -b dev origin/dev will work fine.,False
225,"The statement: ""the preprocessor searches in the same directory..."" may be true in practice but the standard states that the named source file is ""searched for in an implementation-defined manner"". See answer from piCookie.",False
226,"I tend to rarely delete things anyhow.  Just mark have a ""Visible/active"" bit.",False
227,How much CPU time is spent removing duplicate and inconsistent data?,False
228,screenreaders deals with tables ok.. It's the way that tables don't deal with screenreaders that's the problem. A table-based layout is prone to present the information in an inaccessible manner. Think about how a right-side navigation would look like. It would be pretty far down the page.,False
229,"I don't think Joel doesn't use FKs, it's just that he doesn't make the database enforce them. Logically, they are still FKs!",False
230,"An often used trick in Zen Garden is replacing text by images, and define that in the CSS, thus making it invisible from HTML. Very, very wrong.",True
231,"Good list! The DBMs won't check consistency for ""R"" part of CRUD, so I'd take that part out. Also, it's probably a wash because in your app you do the same thing the DBMS does: you'll check and make sure the parent ID is valid before CRD and that is actually slower than having the DBMs do it!",False
232,Also ctrl-\ in Unix. Or use jstack from the JDK.,False
233,"Good answer, but I should point out that *enabling* .htaccess files is the issue, not so much using them. If you don't disable them entirely, you still have the stat-hit for every path segment even if you don't have a single .htaccess file anywhere.",False
234,"I am still not convinced. Even if there is no explicit setter, this doesn't guarantee that the property will always return the same object - it can still be changed by some other method.",False
235,"If you look closely at some of the designs, the text in some headers is different from the text in the HTML. That's because the HTML is made invisible, and instead an image is inserted. (Example: http://csszengarden.com/?cssfile=/212/212.css&page=0, The ?Path? to ?Achievement?)",False
236,"What if someone deletes the parent while you're inserting children? Right now when I submit ""add comment"" -- if you have already deleted your answer, this comment is now an orphan. FKs would've prevented it. Also, I could just change the parentID to be anything I want. Someone needs to check. :)",False
237,"Precisely -- it should be the DB's job, since it's the only one that can guarantee transactionality in the face of multiple concurrent clients.",False
238,"For those who don't know, HCI stands for Human-Computer Interface.  So when Guido says he made the decision for ""HCI reasons"" he's saying he thought it made the code more readable.",False
239,this is to avoid dead handlers.. in c# between the time you check if a handler is null and the actual time to invoke the handler the method could have been removed.  So you set up a reference to where the handler is currently pointing then check for null on that reference and invoke.,False
240,Darn...and I bet they put those flags there just so they could segment the market and charge more,False
241,"Small comment, on activestate perl on windows $0 typically contains backslashes and abs_path returned forward slashes, so a quick ""tr /\//\\/;"" was needed to fix it.",False
242,"I would like to note that on platforms that have native support for bit set/clear (ex, AVR microcontrollers), compilers will often translate 'myByte |= (1 << x)' into the native bit set/clear instructions whenever x is a constant, ex: (1 << 5), or const unsigned x = 5.",False
243,"If you have multiple ""candidate"" keys (fields or same-size collections of fields that are NOT NULL UNIQUE) then you are likely in violation of Boyce-Codd Normal Form.  BCNF is beyond 3NF, so not many people worry about it.  There are situations, however, where being in BCNF is very helpful.",False
244,`type -t $function` is the meal ticket.,False
245,"In an academic sense you are absolutely correct. However, no program on earth is 100% CPU-work which means in practice, multiple threads can have a positive impact even though theres only one computing unit",False
246,"I disagree. in the part of ""use that thing"", if a return or an exception is thrown, then you'll miss the deallocation. As for performance, the std::auto_ptr would cost you nothing. Not that I never code the same way you do. It's just that there is a difference between 100% and 99% secure code. :-)",False
247,A command line tool isn't that great if you want to work in GNOME without touching the shell.,False
248,Don't be eval() by Simon Willison - http://24ways.org/2005/dont-be-eval,False
249,true 30% of the time...,True
250,"Sorry, that doesn't hold water. You don't use car for mybike because you would define a ""bike"" class instead. You can't define something else for ""<table>"" because it is more than a simple semantic tag -- it tells the browser how to render its content as well.",False
251,"Why you'd want to work without touching the shell (or why you'd think you could possibly be half as productive that way), is a mystery.",True
252,"If i'm using your site, the back button is still MINE. Do not mess with what's mine... ;-)",False
253,"@Murph: I've seen this kind of code used, abused and overused. The example is quite simple, as there is no true if/else inside. All that this kind of code needs to break down is one ""else"" forgotten. AFAIK, this code is in real bad need of exceptions.",False
254,Nothing sad about it.,True
255,"The cost of validating the XML pre-parse is essentially a full pass over the XML, keeping track of state and checking validity of all the text. I can't believe that's less expensive than the occasional XmlException.",False
256,The SAX parser would be more efficient - the DOM parser creates DOM objects; wasteful operations in this instance.,False
257,Valid point. I'm just sad. ;),False
258,did you try svn up?,False
